epoch,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
58,58,,,0.6588080525398254,,
58,58,,,,0.527999997138977,0.6479052901268005
59,59,,,0.6569059491157532,,
59,59,,,,0.531000018119812,0.6458295583724976
60,60,,,0.6549566388130188,,
60,60,,,,0.5350000262260437,0.6437066197395325
61,61,,,0.6529560089111328,,
61,61,,,,0.5389999747276306,0.6415342688560486
62,62,,,0.6509008407592773,,
62,62,,,,0.5410000085830688,0.6393072009086609
63,63,,,0.6487863063812256,,
63,63,,,,0.5450000166893005,0.6370204091072083
64,64,,,0.6466065645217896,,
64,64,,,,0.5490000247955322,0.6346706748008728
65,65,,,0.6443628668785095,,
65,65,,,,0.5540000200271606,0.6322526931762695
66,66,,,0.642048180103302,,
66,66,,,,0.5580000281333923,0.6297608017921448
67,67,,,0.6396608352661133,,
67,67,,,,0.5630000233650208,0.6271913647651672
68,68,,,0.637195885181427,,
68,68,,,,0.5649999976158142,0.6245391368865967
69,69,,,0.6346496343612671,,
69,69,,,,0.5690000057220459,0.6218001246452332
70,70,,,0.6320184469223022,,
70,70,,,,0.5720000267028809,0.6189690828323364
71,71,,,0.6292981505393982,,
71,71,,,,0.5759999752044678,0.616042971611023
72,72,,,0.6264843940734863,,
72,72,,,,0.5809999704360962,0.6130141019821167
73,73,,,0.623572587966919,,
73,73,,,,0.5849999785423279,0.6098738312721252
74,74,,,0.6205569505691528,,
74,74,,,,0.5929999947547913,0.6066224575042725
75,75,,,0.6174317002296448,,
75,75,,,,0.5989999771118164,0.6032468676567078
76,76,,,0.6141914129257202,,
76,76,,,,0.6039999723434448,0.5997412800788879
77,77,,,0.6108287572860718,,
77,77,,,,0.6060000061988831,0.5961047410964966
78,78,,,0.6073394417762756,,
78,78,,,,0.6100000143051147,0.5923352241516113
79,79,,,0.6037197709083557,,
79,79,,,,0.6140000224113464,0.5884277820587158
80,80,,,0.5999679565429688,,
80,80,,,,0.6150000095367432,0.5843758583068848
81,81,,,0.5960745811462402,,
81,81,,,,0.6200000047683716,0.5801751017570496
82,82,,,0.592028021812439,,
82,82,,,,0.625,0.5758174061775208
83,83,,,0.5878252387046814,,
83,83,,,,0.6290000081062317,0.5712912678718567
84,84,,,0.5834498405456543,,
84,84,,,,0.6370000243186951,0.5665977597236633
85,85,,,0.5789007544517517,,
85,85,,,,0.6389999985694885,0.5617282390594482
86,86,,,0.5741663575172424,,
86,86,,,,0.6420000195503235,0.5566766262054443
87,87,,,0.5692372918128967,,
87,87,,,,0.6460000276565552,0.551436185836792
88,88,,,0.5641031861305237,,
88,88,,,,0.652999997138977,0.5459988117218018
89,89,,,0.5587524175643921,,
89,89,,,,0.6589999794960022,0.5403556227684021
90,90,,,0.5531732439994812,,
90,90,,,,0.6620000004768372,0.5344961881637573
91,91,,,0.547351598739624,,
91,91,,,,0.6669999957084656,0.5284087657928467
92,92,,,0.5412735342979431,,
92,92,,,,0.6710000038146973,0.5220797657966614
93,93,,,0.534923791885376,,
93,93,,,,0.6779999732971191,0.5154937505722046
94,94,,,0.5282857418060303,,
94,94,,,,0.6819999814033508,0.508634090423584
95,95,,,0.5213407874107361,,
95,95,,,,0.6880000233650208,0.5014815926551819
96,96,,,0.5140717625617981,,
96,96,,,,0.6959999799728394,0.49401548504829407
97,97,,,0.5064569711685181,,
97,97,,,,0.7080000042915344,0.48621317744255066
98,98,,,0.4984759986400604,,
98,98,,,,0.7179999947547913,0.4780502915382385
99,99,,,0.4901059865951538,,
99,99,,,,0.7239999771118164,0.4695030450820923
100,100,,,0.4813244938850403,,
100,100,,,,0.7300000190734863,0.46054720878601074
101,101,,,0.4721108376979828,,
101,101,,,,0.7350000143051147,0.4511634111404419
102,102,,,0.4624447524547577,,
102,102,,,,0.7480000257492065,0.4413253962993622
103,103,,,0.4523010551929474,,
103,103,,,,0.7549999952316284,0.4310125708580017
104,104,,,0.4416614770889282,,
104,104,,,,0.7649999856948853,0.4202072322368622
105,105,,,0.43050795793533325,,
105,105,,,,0.7710000276565552,0.4088960289955139
